folder,icaos_in_name
fs24-asobo-discovery-tokyo,SCOV
fs24-asobo-discovery-yosemite,SCOV
fs24-asobo-eventtriggers,NTTR
fs24-asobo-landingchallenge-cytz-billy-bishop,BISH|HALL|CYTZ
fs24-asobo-landingchallenge-eg78-outskerries,HALL|KERR|UTSK
fs24-asobo-landingchallenge-eghi-southampton,HALL|MPTO|EGHI
fs24-asobo-landingchallenge-eidl-donegal,HALL|EIDL
fs24-asobo-landingchallenge-kase-aspen,HALL|KASE|SPEN
fs24-asobo-landingchallenge-keb-nanwalek,HALL|WALE
fs24-asobo-landingchallenge-kjac-jackson,HALL|KJAC
fs24-asobo-landingchallenge-ksez-sedona,HALL|EDON|KSEZ|SEDO
fs24-asobo-landingchallenge-kswf-stewartintl,HALL|WART|KSWF
fs24-asobo-landingchallenge-lflj-courchevel,HALL|LFLJ
fs24-asobo-landingchallenge-lfmn-nice,HALL|LFMN
fs24-asobo-landingchallenge-lowi-innsbruck,HALL|LOWI
fs24-asobo-landingchallenge-lpma-madeira,HALL|LPMA
fs24-asobo-landingchallenge-lxgb-gibraltar,LXGB|HALL|LTAR
fs24-asobo-landingchallenge-mhtg-toncontin,MHTG|HALL
fs24-asobo-landingchallenge-mynn-nassau,HALL|MYNN|SSAU
fs24-asobo-landingchallenge-nzqn-queenstown,HALL|NZQN|ENST
fs24-asobo-landingchallenge-rjth-hachijojima,HALL|RJTH
fs24-asobo-landingchallenge-rjx8-suwanosejima,HALL|SEJI
fs24-asobo-landingchallenge-rokr-kerama,HALL|ROKR
fs24-asobo-landingchallenge-sbgl-riodejaneiro,HALL|SBGL
fs24-asobo-landingchallenge-scld-llanadagrande,HALL|SCLD
fs24-asobo-landingchallenge-seqm-mariscal-sucre-quito,HALL|SCAL|SEQM
fs24-asobo-landingchallenge-tffj-gustaf,HALL|TFFJ
fs24-asobo-landingchallenge-tncs-saba,HALL|TNCS
fs24-asobo-landingchallenge-vnlk-lukla,VNLK|HALL
fs24-asobo-landingchallenge-vqpr-paro,HALL|VQPR
fs24-asobo-landingchallenge-wx53-bugalaga,HALL
fs24-asobo-landingchallenge-yssy-sydney,YSSY|HALL
fs24-asobo-lepack-landingchallenge-huen-entebbe,EBBE|HALL|LEPA|HUEN|PACK
fs24-asobo-lepack-landingchallenge-knkx-mcasmiramar,KNKX|HALL|LEPA|PACK
fs24-asobo-lepack-landingchallenge-krts-reno,HALL|LEPA|PACK
fs24-asobo-lepack-landingchallenge-lflj-courchevel,HALL|LFLJ|LEPA|PACK
fs24-asobo-lepack-landingchallenge-lfpg-cdg,LFPG|HALL|LEPA|PACK
fs24-asobo-lepack-landingchallenge-lfps-lasalette,HALL|LEPA|PACK
fs24-asobo-lepack-landingchallenge-mrsn-sirenastation,MRSN|HALL|ENAS|LEPA|PACK
fs24-asobo-lepack-landingchallenge-n15-kingstonnevada,HALL|LEPA|PACK|EVAD
fs24-asobo-lepack-landingchallenge-spgl-chagual,HALL|LEPA|PACK|SPGL
fs24-asobo-modellib-airport-generic,LLIB
fs24-asobo-modellib-assets,LLIB|SETS
fs24-asobo-modellib-buildings,LLIB
fs24-asobo-modellib-dynamicassets,LLIB|SETS
fs24-asobo-modellib-props,LLIB
fs24-asobo-modellib-texture,LLIB
fs24-asobo-modellib-vegetation,LLIB|EGET
fs24-asobo-passiveaircraft-a220family,SIVE|FAMI
fs24-asobo-passiveaircraft-a310family,SIVE|FAMI
fs24-asobo-passiveaircraft-a320family,SIVE|FAMI
fs24-asobo-passiveaircraft-a330family,SIVE|FAMI
fs24-asobo-passiveaircraft-a340family,SIVE|FAMI
fs24-asobo-passiveaircraft-a350family,SIVE|FAMI
fs24-asobo-passiveaircraft-a380,SIVE
fs24-asobo-passiveaircraft-aa1,SIVE
fs24-asobo-passiveaircraft-aa5,SIVE
fs24-asobo-passiveaircraft-atrfamily,SIVE|FAMI
fs24-asobo-passiveaircraft-b190,SIVE
fs24-asobo-passiveaircraft-b717-200,SIVE
fs24-asobo-passiveaircraft-b737family,SIVE|FAMI
fs24-asobo-passiveaircraft-b747family,SIVE|FAMI
fs24-asobo-passiveaircraft-b757family,SIVE|FAMI
fs24-asobo-passiveaircraft-b767family,SIVE|FAMI
fs24-asobo-passiveaircraft-b777family,SIVE|FAMI
fs24-asobo-passiveaircraft-b787family,SIVE|FAMI
fs24-asobo-passiveaircraft-baron58family,SIVE|FAMI
fs24-asobo-passiveaircraft-beech-18,SIVE
fs24-asobo-passiveaircraft-beech-23,SIVE
fs24-asobo-passiveaircraft-beech-390,SIVE
fs24-asobo-passiveaircraft-beech-400,SIVE
fs24-asobo-passiveaircraft-beech-45,SIVE
fs24-asobo-passiveaircraft-beech-50,SIVE
fs24-asobo-passiveaircraft-beech-60,SIVE
fs24-asobo-passiveaircraft-beech-70family,SIVE|FAMI
fs24-asobo-passiveaircraft-beech-76,SIVE
fs24-asobo-passiveaircraft-beech-77,SIVE
fs24-asobo-passiveaircraft-beech-95,SIVE
fs24-asobo-passiveaircraft-beech-99,SIVE
fs24-asobo-passiveaircraft-bell-204family,SIVE|FAMI
fs24-asobo-passiveaircraft-bell-230family,SIVE|FAMI
fs24-asobo-passiveaircraft-bell-412,SIVE
fs24-asobo-passiveaircraft-bell-427,SIVE
fs24-asobo-passiveaircraft-bell-429,SIVE
fs24-asobo-passiveaircraft-bell-505,SIVE
fs24-asobo-passiveaircraft-bl8,SIVE
fs24-asobo-passiveaircraft-bonanzafamily,SIVE|FAMI
fs24-asobo-passiveaircraft-c140family,SIVE|FAMI
fs24-asobo-passiveaircraft-c152family,SIVE|FAMI
fs24-asobo-passiveaircraft-c162,SIVE
fs24-asobo-passiveaircraft-c170,SIVE
fs24-asobo-passiveaircraft-c172family,SIVE|FAMI
fs24-asobo-passiveaircraft-c177,SIVE
fs24-asobo-passiveaircraft-c182family,SIVE|FAMI
fs24-asobo-passiveaircraft-c206family,SIVE|FAMI
fs24-asobo-passiveaircraft-c208,SIVE
fs24-asobo-passiveaircraft-c208b,SIVE
fs24-asobo-passiveaircraft-c210family,SIVE|FAMI
fs24-asobo-passiveaircraft-c303,SIVE
